created_at,entry_id,field1,latitude,longitude,elevation,status
2022-09-09T11:01:00+05:30,1,24,,,,
2022-09-09T11:02:00+05:30,2,24,,,,
2022-09-09T11:03:00+05:30,3,24,,,,
2022-09-09T11:04:00+05:30,4,23,,,,
2022-09-09T11:05:00+05:30,5,22,,,,
2022-09-09T11:06:00+05:30,6,21,,,,
2022-09-09T11:07:00+05:30,7,19,,,,
2022-09-09T11:08:00+05:30,8,20,,,,
2022-09-09T11:09:00+05:30,9,21,,,,
2022-09-09T11:10:00+05:30,10,21,,,,
2022-09-09T11:11:00+05:30,11,21,,,,
2022-09-09T11:12:00+05:30,12,21,,,,
2022-09-09T11:13:00+05:30,13,21,,,,
2022-09-09T11:14:00+05:30,14,21,,,,
2022-09-09T11:15:00+05:30,15,19,,,,
2022-09-09T11:16:00+05:30,16,21,,,,
2022-09-09T11:17:00+05:30,17,21,,,,
2022-09-09T11:18:00+05:30,18,21,,,,
2022-09-09T11:19:00+05:30,19,20,,,,
2022-09-09T11:20:00+05:30,20,20,,,,
2022-09-09T11:21:00+05:30,21,20,,,,
2022-09-09T11:22:00+05:30,22,20,,,,
2022-09-09T11:23:00+05:30,23,20,,,,
2022-09-09T11:24:00+05:30,24,21,,,,
2022-09-09T11:25:00+05:30,25,21,,,,
2022-09-09T11:26:00+05:30,26,22,,,,
2022-09-09T11:27:00+05:30,27,21,,,,
2022-09-09T11:28:00+05:30,28,20,,,,
2022-09-09T11:29:00+05:30,29,20,,,,
2022-09-09T11:30:00+05:30,30,22,,,,
2022-09-09T11:31:00+05:30,31,22,,,,
2022-09-09T11:32:00+05:30,32,23,,,,
2022-09-09T11:33:00+05:30,33,23,,,,
2022-09-09T11:34:00+05:30,34,24,,,,
2022-09-09T11:35:00+05:30,35,23,,,,
2022-09-09T11:36:00+05:30,36,23,,,,
2022-09-09T11:37:00+05:30,37,25,,,,
2022-09-09T11:38:00+05:30,38,25,,,,
2022-09-09T11:39:00+05:30,39,23,,,,
2022-09-09T11:40:00+05:30,40,23,,,,
2022-09-09T11:41:00+05:30,41,23,,,,
2022-09-09T11:42:00+05:30,42,22,,,,
2022-09-09T11:43:00+05:30,43,22,,,,
2022-09-09T11:44:00+05:30,44,22,,,,
2022-09-09T11:45:00+05:30,45,21,,,,
2022-09-09T11:46:00+05:30,46,21,,,,
2022-09-09T11:47:00+05:30,47,21,,,,
2022-09-09T11:48:00+05:30,48,21,,,,
2022-09-09T11:49:00+05:30,49,20,,,,
2022-09-09T11:50:00+05:30,50,21,,,,
2022-09-09T11:51:00+05:30,51,21,,,,
2022-09-09T11:52:00+05:30,52,21,,,,
2022-09-09T11:53:00+05:30,53,20,,,,
2022-09-09T11:54:00+05:30,54,20,,,,
2022-09-09T11:55:00+05:30,55,20,,,,
2022-09-09T11:56:00+05:30,56,21,,,,
2022-09-09T11:57:00+05:30,57,21,,,,
2022-09-09T11:58:00+05:30,58,22,,,,
2022-09-09T11:59:00+05:30,59,23,,,,
2022-09-09T12:00:00+05:30,60,25,,,,
2022-09-09T12:01:00+05:30,61,26,,,,
2022-09-09T12:02:00+05:30,62,24,,,,
2022-09-09T12:03:00+05:30,63,24,,,,
2022-09-09T12:04:00+05:30,64,25,,,,
2022-09-09T12:05:00+05:30,65,27,,,,
2022-09-09T12:06:00+05:30,66,29,,,,
2022-09-09T12:07:00+05:30,67,29,,,,
2022-09-09T12:08:00+05:30,68,28,,,,
2022-09-09T12:09:00+05:30,69,28,,,,
2022-09-09T12:10:00+05:30,70,28,,,,
2022-09-09T12:11:00+05:30,71,28,,,,
2022-09-09T12:12:00+05:30,72,28,,,,
2022-09-09T12:13:00+05:30,73,26,,,,
2022-09-09T12:14:00+05:30,74,26,,,,
2022-09-09T12:15:00+05:30,75,27,,,,
2022-09-09T12:16:00+05:30,76,27,,,,
2022-09-09T12:17:00+05:30,77,25,,,,
2022-09-09T12:18:00+05:30,78,25,,,,
2022-09-09T12:19:00+05:30,79,23,,,,
2022-09-09T12:20:00+05:30,80,23,,,,
2022-09-09T12:21:00+05:30,81,23,,,,
2022-09-09T12:22:00+05:30,82,22,,,,
2022-09-09T12:23:00+05:30,83,24,,,,
2022-09-09T12:24:00+05:30,84,24,,,,
2022-09-09T12:25:00+05:30,85,23,,,,
2022-09-09T12:26:00+05:30,86,21,,,,
2022-09-09T12:27:00+05:30,87,20,,,,
2022-09-09T12:28:00+05:30,88,20,,,,
2022-09-09T12:29:00+05:30,89,21,,,,
2022-09-09T12:30:00+05:30,90,20,,,,
2022-09-09T12:31:00+05:30,91,20,,,,
2022-09-09T12:32:00+05:30,92,20,,,,
2022-09-09T12:33:00+05:30,93,20,,,,
